Rank,Film,Year,Nett Gross,Gross,Adjusted Gross,Verdict
1,Hum Aapke Hain Kaun,1994,697500000,1230000000,3092600000,All Time Blockbuster
2,Dilwale Dulhania Le Jayenge,1995,610000000,1065000000,2677700000,All Time Blockbuster
3,Raja Hindustani,1996,480000000,850000000,2077800000,All Time Blockbuster
4,Kuch Kuch Hota Hai,1998,452500000,767500000,1825400000,All Time Blockbuster
5,Border,1997,350000000,610000000,1491100000,Blockbuster
6,Karan Arjun,1995,290000000,520000000,1206900000,Blockbuster
7,Dil To Pagal Hai,1997,280000000,480000000,1173300000,Super Hit
8,Hum Saath Saath Hain,1999,280000000,465000000,1076800000,Hit
9,Biwi No1,1999,240000000,400000000,926300000,Hit
10,Bade Miyan Chote Miyan,1998,200000000,350000000,832500000,Semi Hit
11,Hum Dile De Chuke Sanam,1999,200000000,325000000,752600000,Semi Hit
12,Jeet,1996,172500000,305000000,745600000,Hit
13,Ishq,1997,172500000,300000000,733300000,Semi Hit
14,Pardes,1997,180000000,300000000,733300000,Hit
15,Pyaar To Hona Hi Tha,1998,177500000,302500000,719500000,Hit
16,Ghatak,1996,165000000,292500000,715000000,Hit
17,Ziddi,1997,165000000,292500000,715000000,Hit
18,Coolie No1,1995,160000000,282500000,710300000,Super Hit
19,Hero No1,1997,160000000,280000000,684400000,Hit
20,Pyaar Kiya To Darna Kya,1998,162500000,282500000,671800000,Hit
21,Agni Sakshi,1996,155000000,270000000,660000000,Hit
22,Taal,1999,172500000,282500000,654200000,Above Average
23,Judwaa,1997,150000000,265000000,647800000,Hit
24,Saajan Chale Sasural,1996,145000000,255000000,623300000,Super Hit
25,Soldier,1998,145000000,255000000,606400000,Hit
1,Aankhen,1993,140000000,252500000,267700000,All Time Blockbuster
2,Beta,1992,130000000,235000000,264000000,Blockbuster
3,Khalnayak,1993,125000000,215000000,227900000,Super Hit
4,Dil,1990,100000000,180000000,227200000,Super Hit
5,Mohra,1994,125000000,215000000,215000000,Super Hit
6,Ghayal,1990,95000000,170000000,214600000,Super Hit
7,Saajan,1991,100000000,180000000,214400000,Super Hit
8,Darr,1993,107500000,192500000,204100000,Super Hit
